Keyword,Reason-to_Flag,Country_Code,Valid_Country_Codes,Country,Compliance _Region
Cheap_Price,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Cheap-Price,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Cheap*Price,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
checkerberry oil,Int'l - Canada prohibits - internal use,CA,,,
checkerberry oil,Int'l - UK prohibits,UK,,,
Chelate,Heavy Metal Chelation products or products that claim to detox the body of Heavy Metal are prohibited,ALL,,,
Chelation,Heavy Metal Chelation products or products that claim to detox the body of Heavy Metal are prohibited,ALL,,,
Chelidonium majus,Restricted Ingredient Other Names: Celandine,ALL,,,
Chenodiol,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chenodiol,Restricted Ingredient,EU,,,
Chenopodium ambrosiodes var anthelminticum,Restricted Ingredient,ALL,,,
Chenopodium ambrosioides,Int'l - UK prohibits,UK,,,
Cheque Drops,"""Legal"" Steroids: not allowed",ALL,,,
Cheratussin AC,Prescription Drugs & Ingredients - cannot be sold,ALL,,,
Cherry pie,Int'l - UK prohibits,UK,,,
Chest Cold,CDC Diseases - analyze to see if this is a claim,ALL,,,
CHHF,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chicago,Trademark Terms,ALL,,,
Chickenpox,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chikungunya Fever,CDC Diseases - analyze to see if this is a claim,ALL,,,
CHIKV,CDC Diseases - analyze to see if this is a claim,ALL,,,
Child,"This may cause a product to be flagged as a child's product, which would require child product certificate to solve",US,,,
Child predator,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Childhood Arthritis,CDC Diseases - analyze to see if this is a claim,ALL,,,
Children Predator,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Children's Predator,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
China Brush,Sexual Enhancement Products - prohibited,ALL,,,
CHINA FLU,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
CHINA VIRUS,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
China white,Ephedra Products - not allowed to be sold,ALL,,,
Chinese Ephedra,"Int'l - Canada - Restriction of 400mg/dose, 1600 mg/day",CA,,,
Chinese Ephedra,Int'l - UK prohibits,UK,,,
CHINESE FLU,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
CHINESE VIRUS,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Chinomethionat,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlamydia,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chlamydia trachomatis,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chlamydophila,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chloral,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloral,Restricted Ingredient,EU,,,
Chloral hydrate,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloral hydrate,Restricted Ingredient,EU,,,
Chlorambucil,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorambucil,Restricted Ingredient,EU,,,
Chloramphenicol,Prescription Antibiotics cannot be sold,ALL,,,
Chloramphenicol sodium succinate,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloramphenicol sodium succinate,Restricted Ingredient,EU,,,
Chlorcyclizine hydrochloride,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorcyclizine hydrochloride,Restricted Ingredient,EU,,,
Chlordane,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordane,Restricted Ingredient,EU,,,
Chlordecone,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordecone,Restricted Ingredient,EU,,,
Chlordecone,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordecone,Restricted Ingredient,EU,,,
Chlordiazepoxide,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordiazepoxide,Restricted Ingredient,EU,,,
Chlordiazepoxide hydrochloride,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordiazepoxide hydrochloride,Restricted Ingredient,EU,,,
Chlordimeform,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlordimeform,Restricted Ingredient,EU,,,
Chlorendic acid,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorendic acid,Restricted Ingredient,EU,,,
Chlorinated paraffins,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorinated paraffins,Restricted Ingredient,EU,,,
Chlornapazine,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloro Plasma,Unapproved Remedies for Cancer,ALL,,,
Chlorodehydromethyl testosterone,"""Legal"" Steroids: not allowed",ALL,,,
Chloroethane,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloroethane,Restricted Ingredient,EU,,,
Chloroform,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloroform,Int'l - Canada prohibits,CA,,,
Chloroform,"Products that have been the Subject of Criminal Enforcement, Injunctions, Seizures or Warning Letters:",EU,,,
Chloroformum,Int'l - Canada prohibits,CA,,,
Chloroformum,Int'l - UK prohibits,UK,,,
Chloroformum anesthesicum,Int'l - Canada prohibits,CA,,,
Chloroformum anesthesicum,Int'l - UK prohibits,UK,,,
Chloroformum pro Narcosi,Int'l - Canada prohibits,CA,,,
Chloroformum pro Narcosi,Int'l - UK prohibits,UK,,,
Chlorogenic acid,Int'l Brazil - Prohibited Ingredient - Maximum allowed dose: .12 mg,BR,,,
Chloromethyl methyl ether,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloromethyl methyl ether,Restricted Ingredient,EU,,,
Chloromethyl methyl ether (technical grade),"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloromethyl methyl ether (technical grade),Restricted Ingredient,EU,,,
Chloroprene,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chloroprene,Restricted Ingredient,EU,,,
Chlorothalonil,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorothalonil,Restricted Ingredient,EU,,,
Chlorotrianisene,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorotrianisene,Restricted Ingredient,EU,,,
Chlorozotocin,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chlorozotocin,Restricted Ingredient,EU,,,
choice available in lumineux,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice of 4 colors,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice of 4 Colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
choice_available_in_lumineux,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice_of_4_Colors,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice_of_4_Colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice_of_4_colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
choice-available-in-lumineux,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice-of-4-Colors,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice-of-4-Colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice-of-4-colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
choice*available*in*lumineux,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice*of*4*Colors,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice*of*4*Colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Choice*of*4*colours,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Cholera,CDC Diseases - analyze to see if this is a claim,ALL,,,
CholeSterin manufactured by Atrium,Prohibited Supplement Products,ALL,,,
Cholesterol,"Analyze for claims - don't claim to raise, lower or regulate cholesterol",ALL,,,
Choline,Int'l Brazil - Prohibited Ingredient - Maximum allowed dose: 3235 mg,BR,,,
Chong Cao Zhang Bian Bao,Prohibited Supplement Products,ALL,,,
Chorionic,Growth Hormones - not allowed to be sold,ALL,,,
Chorionic Gonadotrophin (CG),Restricted Ingredient,ALL,,,
Chrismas gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Chrismas_gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Chrismas-gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Chrismas*gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christ,Restricted Ingredient,ALL,,,
Christmas Present,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas Seals,Trademark Terms,ALL,,,
Christmas stocking filler gift idea,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas_gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas_Present,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas_Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas_stocking_filler_gift_idea,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas-gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas-Present,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas-Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas-stocking-filler-gift-idea,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas*gift,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas*Present,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas*Sale,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Christmas*stocking*filler*gift*idea,Amazon Europe promotional and/or restricted phrases in titles which will lead to search suppression of the listing: https://sellercentral.amazon.co.uk/help/hub/reference/GYTR6SYGFA5E3EQC?mons_sel_mkid=amzn1.mp.o.A1F83G8C2ARO7P&mons_sel_mcid=amzn1.merchant.o.A2B7WB2XMX2L4V&mons_sel_persist=true,ALL,,,
Chrome,Int'l Brazil - Prohibited Ingredient - Maximum allowed dose: 250 mcg,BR,,,
Chromium,UK Safe Upper Level (Voluntary guideline based on EVM 2003 report) = 10000µg. Source: Section 2.2 https://www.gov.uk/government/publications/nutrition-legislation-information-sources/nutrition-legislation-information-sheet--2 ,UK,,,
Chromium (hexavalent compounds),"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chromium (hexavalent compounds),Restricted Ingredient,EU,,,
Chronic Fatigue Syndrome,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chronic Kidney,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chronic Obstructive Pulmonary,CDC Diseases - analyze to see if this is a claim,ALL,,,
Chrysanthemum parthenium,Int'l - UK Restrictions - no internal use; external 10.0% and below,UK,,,
Chrysanthemum vulgare,Int'l - UK prohibits,UK,,,
Chrysene,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Chrysene,Restricted Ingredient,EU,,,
Chymotrypsin,Int'l Canada - prohibited ingredient,CA,,,
Chyron,Trademark Terms,ALL,,,
Cialis,Prescription Drugs & Ingredients - cannot be sold|Sexual Enhancement Products - prohibited,ALL,,,
Ciclosporin (Cyclosporin A; Cyclosporine),"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Cidofovir,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Cigarette boat,Trademark Terms,ALL,,,
Cigarette Paper,Drug Paraphernalia not allowed to be sold,ALL,,,
CigRX - anatabine,Prohibited Supplement Products,ALL,,,
Ciguatera Fish Poisoning,CDC Diseases - analyze to see if this is a claim,ALL,,,
Ciguatoxin,CDC Diseases - analyze to see if this is a claim,ALL,,,
Cilastatin,Prescription Antibiotics cannot be sold,ALL,,,
Cinafloxacin,Prescription Antibiotics cannot be sold,ALL,,,
Cinchona bark,Restricted Ingredient,ALL,,,
Cinchona calisaya,Restricted Ingredient,ALL,,,
Cinchona ledgerana,Restricted Ingredient,ALL,,,
Cinchona micrantha,Restricted Ingredient,ALL,,,
Cinchona officinalis,Restricted Ingredient,ALL,,,
Cinchona succirubra,Restricted Ingredient,ALL,,,
Cinema Tools,Trademark Terms,ALL,,,
Cinnamyl anthranilate,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Cipro,Prescription Antibiotics cannot be sold,ALL,,,
Cipro XR,Prescription Antibiotics cannot be sold,ALL,,,
Ciprobay,Prescription Antibiotics cannot be sold,ALL,,,
Ciprofloxacin,Prescription Antibiotics cannot be sold,ALL,,,
Ciprofloxacin HCl,Prescription Drugs & Ingredients - cannot be sold,ALL,,,
"Ciprofloxacin/Cipro, Cipro XR, Ciprobay, Ciproxin",Prescription Antibiotics cannot be sold,ALL,,,
Ciproxin,Prescription Antibiotics cannot be sold,ALL,,,
Cisplatin,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Cissus Drol,Prohibited Supplement Products,ALL,,,
Citalopram Hydrobromide,Prescription Drugs & Ingredients - cannot be sold,ALL,,,
Citral,Unapproved Remedies for Cancer,ALL,,,
Citrullus colocynthis,Int'l - UK prohibits,UK,,,
Citrus Fit Gold,Prohibited Supplement Products,ALL,,,
Citrus Fit Gold - sibutramine,Prohibited Supplement Products,ALL,,,
Citrus Red No. 2,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
CJD,CDC Diseases - analyze to see if this is a claim,ALL,,,
CKD,CDC Diseases - analyze to see if this is a claim,ALL,,,
Cladribine,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations",ALL,,,
Claforan,Prescription Antibiotics cannot be sold,ALL,,,
Clalis,Sexual Enhancement Products - prohibited,ALL,,,
clamp,"Kits used for clamping, cropping, declawing, or, dismembering animals prohibited",ALL,,,
Claris,Trademark Terms,ALL,,,
Clarithromycin,Prescription Antibiotics cannot be sold|California Proposition 65,ALL,,,
Clarithromycin/Biaxin,Prescription Antibiotics cannot be sold,ALL,,,
Claritin-D,Pseudoephedrine Products,ALL,,,
Classic Creutzfeldt-Jakob Disease,CDC Diseases - analyze to see if this is a claim,ALL,,,
